date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2017-12-01,451005,303,626,257,601,33
2017-12-16,955596,616,836,290,938,89
2017-12-30,911234,373,495,504,953,98
2018-01-17,203823,624,799,236,397,50
2018-02-01,026853,106,947,181,519,31
2018-02-16,309915,007,388,230,748,39
2018-03-02,759415,318,870,589,723,29
2018-03-16,218559,064,720,205,489,82
2018-04-01,412073,131,787,638,924,85
2018-04-16,739229,273,654,076,526,60
2018-05-02,248038,527,980,225,602,85
2018-05-16,075629,130,357,047,506,20
2018-06-01,988117,310,553,248,650,95
2018-06-16,223131,432,507,132,868,46
2018-07-01,963623,429,901,210,217,83
2018-07-16,596324,403,530,138,362,27
2018-08-01,386602,832,903,549,726,78
2018-08-16,586117,340,670,591,815,10
2018-09-01,734510,464,512,097,202,26
2018-09-16,149760,323,539,155,297,79
2018-10-01,452643,594,726,561,810,99
2018-10-16,200515,186,392,192,212,93
2018-11-01,149840,384,576,046,509,58
2018-11-16,989903,471,930,140,876,16
2018-12-01,021840,045,307,561,988,67
2018-12-16,356564,480,948,297,369,62
2018-12-30,735867,031,913,701,884,02
2019-01-17,197079,206,412,127,660,65
2019-02-01,074824,881,910,612,879,56
2019-02-16,967134,643,779,197,948,04
2019-03-01,345650,137,999,830,837,65
2019-03-16,724628,148,883,154,877,64
2019-04-01,109767,888,959,403,975,52
2019-04-16,570331,512,930,966,968,23
2019-05-02,061324,043,476,374,699,25
2019-05-16,962526,669,949,018,828,71
2019-06-01,516461,589,713,215,560,46
2019-06-16,174055,625,884,127,800,29
2019-07-01,943647,239,864,006,375,86
2019-07-15,369765,355,901,113,556,88
2019-08-01,387006,135,983,562,795,58
2019-08-16,775476,149,912,563,580,89
2019-09-01,798787,210,847,274,439,20
2019-09-16,340388,733,947,925,939,85
2019-10-01,691197,392,920,606,797,59
2019-10-16,812564,255,625,132,598,15
2019-11-01,967375,323,806,021,206,79
2019-11-16,017223,164,640,085,194,32
2019-12-01,453522,261,617,013,457,81
2019-12-16,529924,043,138,555,665,97
2019-12-30,510541,116,382,140,250,81
2020-01-17,491774,004,132,379,595,68
2020-02-01,589227,259,552,375,927,06
2020-02-16,781403,515,952,030,918,94
2020-03-01,875938,294,328,597,780,98
2020-03-16,503446,258,726,404,661,77
2020-04-01,051095,285,430,191,364,22
2020-05-16,831567,264,489,562,582,24
2020-06-01,516967,876,882,565,625,64
2020-07-16,873286,510,533,494,682,53
2020-08-01,569391,575,931,578,809,92
2020-08-16,945811,614,712,364,733,88
2020-09-01,999997,636,725,342,957,98
2020-09-16,244083,127,220,623,853,57
2020-10-01,837893,594,757,110,595,59
2020-10-16,286051,189,464,045,980,38
2020-11-01,506404,154,598,062,245,40
2020-11-16,972661,368,741,208,255,46
2020-12-01,100994,093,776,834,984,84
2020-12-16,201303,377,828,072,517,70
2020-12-30,803628,336,804,321,924,19
2021-01-17,384395,367,653,566,878,15
2021-02-01,912307,248,605,282,651,97
2021-02-16,424603,318,861,057,817,39
2021-03-01,835538,290,838,051,806,73
2021-03-16,890422,036,902,256,396,19
2021-04-01,472270,283,755,393,577,05
2021-04-16,100787,013,143,264,478,56
2021-05-02,501272,018,306,129,498,18
2021-05-16,684579,615,843,276,970,14
2021-06-01,292972,193,620,723,978,45
2021-06-16,691861,007,054,447,668,17
2021-07-01,713517,073,794,414,511,29
2021-07-16,556725,058,174,233,927,70
2021-08-01,910261,103,307,004,785,69
2021-08-16,046750,421,666,160,355,23
2021-09-01,114475,278,302,123,458,79
2021-09-16,070935,609,817,007,379,90
2021-10-01,578171,285,361,379,449,83
2021-10-16,386372,602,964,295,798,38
2021-11-01,045037,247,458,331,755,95
2021-11-16,032761,471,648,245,844,57
2021-12-01,077258,739,740,401,485,82
2021-12-16,639235,097,629,476,522,83
2021-12-30,819068,591,979,419,547,36
2022-01-17,880159,731,786,119,529,92
2022-02-01,944308,061,942,485,509,30
2022-02-17,098597,085,644,592,816,57
2022-03-01,061905,236,834,234,691,07
2022-03-16,737867,349,985,788,989,03
2022-04-01,970618,391,738,578,870,10
2022-04-16,395919,289,859,413,508,58
2022-05-02,658642,518,778,041,325,09
2022-05-16,155012,247,736,236,540,06
2022-06-01,319196,679,817,213,652,02
2022-06-16,361807,285,549,106,228,92
2022-07-01,981417,242,287,002,542,61
2022-07-16,620405,159,834,061,279,53
2022-08-01,436594,266,893,282,447,14
2022-08-16,331583,271,300,284,876,42
2022-09-01,929332,298,725,210,604,83
2022-09-16,943703,540,971,432,631,75
2022-10-01,484669,206,996,194,278,50
2022-10-16,613106,037,158,606,799,15
2022-11-01,913106,722,839,343,922,70
2022-11-16,121789,532,722,157,973,64
2022-12-01,375805,170,786,409,421,08
2022-12-16,845093,411,912,593,855,14
2022-12-30,157196,007,522,250,425,58
2023-01-17,812519,389,443,564,849,47
2023-02-01,297411,181,789,101,664,92
2023-02-16,590417,195,664,377,523,80
2023-03-01,417652,577,919,748,984,55
2023-03-16,025873,420,800,355,544,73
2023-04-01,087907,111,914,165,698,99
2023-04-16,984906,670,678,797,975,71
2023-05-02,843019,500,780,269,187,65
2023-05-16,132903,678,739,693,731,99
2023-06-01,125272,681,300,971,386,09
2023-06-16,264872,519,628,202,874,30
2023-07-01,922605,281,867,491,947,16
2023-07-16,169530,261,384,066,780,62
2023-07-31,260453,268,708,387,601,11
2023-08-16,471782,431,739,208,742,67
2023-09-01,915478,521,596,295,692,91
2023-09-16,320812,058,699,344,057,46
2023-10-01,727202,324,355,350,426,66
2023-10-16,931446,167,398,272,971,44
